grouping,group,n_pairs,n_judgments,choice_accuracy,above_gold_accuracy,below_gold_accuracy,both_correct_fraction,above_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
probe_family+direction,literal_definition|word_to_definition,24,48,0.5625,1.0,0.125,0.125,0.9375,0.8333333333333334,0
probe_family+direction,literal_definition|definition_to_word,8,16,0.4375,0.875,0.0,0.0,0.9375,0.5,0
probe_family+direction,lexical_synonym|word_to_synonym,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction,lexical_synonym|synonym_to_word,2,4,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|vertical_higher_lower,6,12,0.5,1.0,0.0,0.0,1.0,0.8333333333333334,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|greater_lesser_height,6,12,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|higher_up_lower_down,6,12,0.5,1.0,0.0,0.0,1.0,0.9166666666666666,0
probe_family+direction+phrase_pair_id,literal_definition|word_to_definition|higher_lower,6,12,0.75,1.0,0.5,0.5,0.75,0.8333333333333334,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|vertical_higher_lower,2,4,0.5,1.0,0.0,0.0,1.0,0.5,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|greater_lesser_height,2,4,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|higher_up_lower_down,2,4,0.5,1.0,0.0,0.0,1.0,0.5,0
probe_family+direction+phrase_pair_id,literal_definition|definition_to_word|higher_lower,2,4,0.25,0.5,0.0,0.0,0.75,0.25,0
probe_family+direction+phrase_pair_id,lexical_synonym|word_to_synonym|over_under,6,12,1.0,1.0,1.0,1.0,0.5,0.9166666666666666,0
probe_family+direction+phrase_pair_id,lexical_synonym|synonym_to_word|over_under,2,4,0.5,1.0,0.0,0.0,1.0,0.75,0
probe_family+direction+definition_structure_id,literal_definition|word_to_definition|generic,12,24,0.5416666666666666,1.0,0.08333333333333333,0.08333333333333333,0.9583333333333334,0.875,0
probe_family+direction+definition_structure_id,literal_definition|word_to_definition|ordered,12,24,0.5833333333333334,1.0,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.7916666666666666,0
probe_family+direction+definition_structure_id,literal_definition|definition_to_word|generic,4,8,0.375,0.75,0.0,0.0,0.875,0.375,0
probe_family+direction+definition_structure_id,literal_definition|definition_to_word|ordered,4,8,0.5,1.0,0.0,0.0,1.0,0.625,0
probe_family+direction+definition_structure_id,lexical_synonym|word_to_synonym|generic,3,6,1.0,1.0,1.0,1.0,0.5,1.0,0
probe_family+direction+definition_structure_id,lexical_synonym|word_to_synonym|ordered,3,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0
probe_family+direction+definition_structure_id,lexical_synonym|synonym_to_word|generic,1,2,0.5,1.0,0.0,0.0,1.0,0.5,0
probe_family+direction+definition_structure_id,lexical_synonym|synonym_to_word|ordered,1,2,0.5,1.0,0.0,0.0,1.0,1.0,0
probe_family+direction+context_stem_id,literal_definition|word_to_definition|short,8,16,0.5625,1.0,0.125,0.125,0.9375,0.5625,0
probe_family+direction+context_stem_id,literal_definition|word_to_definition|medium,8,16,0.5625,1.0,0.125,0.125,0.9375,1.0,0
probe_family+direction+context_stem_id,literal_definition|word_to_definition|long,8,16,0.5625,1.0,0.125,0.125,0.9375,0.9375,0
probe_family+direction+context_stem_id,literal_definition|definition_to_word|,8,16,0.4375,0.875,0.0,0.0,0.9375,0.5,0
probe_family+direction+context_stem_id,lexical_synonym|word_to_synonym|short,2,4,1.0,1.0,1.0,1.0,0.5,0.75,0
probe_family+direction+context_stem_id,lexical_synonym|word_to_synonym|medium,2,4,1.0,1.0,1.0,1.0,0.5,1.0,0
probe_family+direction+context_stem_id,lexical_synonym|word_to_synonym|long,2,4,1.0,1.0,1.0,1.0,0.5,1.0,0
probe_family+direction+context_stem_id,lexical_synonym|synonym_to_word|,2,4,0.5,1.0,0.0,0.0,1.0,0.75,0
