grouping,group,n_probes,completion_choice_accuracy,close_accuracy,far_accuracy,paired_success,context_sensitivity_accuracy,context_sensitivity_paired_success,exact_ties,near_ties_1e6
condition_id,baseline,52,0.41346153846153844,0.75,0.07692307692307693,0.0,0.46153846153846156,0.0,0,0
condition_id,phrase_alternate,52,0.4423076923076923,0.6730769230769231,0.21153846153846154,0.057692307692307696,0.4423076923076923,0.038461538461538464,0,0
condition_id,word_beside,52,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.5192307692307693,0.038461538461538464,0,0
condition_id,word_alongside,52,0.7596153846153846,0.8653846153846154,0.6538461538461539,0.5192307692307693,0.7884615384615384,0.5769230769230769,0,0
condition_id,word_near,52,0.40384615384615385,0.6538461538461539,0.15384615384615385,0.019230769230769232,0.5,0.0,0,0
condition_id,reference_reversed,52,0.5288461538461539,0.8461538461538461,0.21153846153846154,0.11538461538461539,0.47115384615384615,0.038461538461538464,0,0
condition_id,negate_close,52,0.3269230769230769,0.46153846153846156,0.19230769230769232,0.019230769230769232,0.46153846153846156,0.0,0,0
condition_id,negate_far,52,0.5,1.0,0.0,0.0,0.46153846153846156,0.0,0,0
condition_id,both_negated,52,0.5,0.7884615384615384,0.21153846153846154,0.0,0.46153846153846156,0.0,0,0
condition_id+entity_type,baseline|person_object,40,0.4,0.775,0.025,0.0,0.4625,0.0,0,0
condition_id+entity_type,phrase_alternate|person_object,40,0.425,0.7,0.15,0.025,0.4375,0.0,0,0
condition_id+entity_type,word_beside|person_object,40,0.95,0.95,0.95,0.9,0.525,0.05,0,0
condition_id+entity_type,word_alongside|person_object,40,0.8125,0.875,0.75,0.625,0.7875,0.575,0,0
condition_id+entity_type,word_near|person_object,40,0.425,0.7,0.15,0.025,0.5,0.0,0,0
condition_id+entity_type,reference_reversed|person_object,40,0.55,0.925,0.175,0.15,0.4875,0.05,0,0
condition_id+entity_type,negate_close|person_object,40,0.3125,0.475,0.15,0.025,0.4625,0.0,0,0
condition_id+entity_type,negate_far|person_object,40,0.5,1.0,0.0,0.0,0.45,0.0,0,0
condition_id+entity_type,both_negated|person_object,40,0.5,0.825,0.175,0.0,0.45,0.0,0,0
condition_id+entity_type,baseline|object_object,12,0.4583333333333333,0.6666666666666666,0.25,0.0,0.4583333333333333,0.0,0,0
condition_id+entity_type,phrase_alternate|object_object,12,0.5,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.4583333333333333,0.16666666666666666,0,0
condition_id+entity_type,word_beside|object_object,12,1.0,1.0,1.0,1.0,0.5,0.0,0,0
condition_id+entity_type,word_alongside|object_object,12,0.5833333333333334,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.7916666666666666,0.5833333333333334,0,0
condition_id+entity_type,word_near|object_object,12,0.3333333333333333,0.5,0.16666666666666666,0.0,0.5,0.0,0,0
condition_id+entity_type,reference_reversed|object_object,12,0.4583333333333333,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.0,0,0
condition_id+entity_type,negate_close|object_object,12,0.375,0.4166666666666667,0.3333333333333333,0.0,0.4583333333333333,0.0,0,0
condition_id+entity_type,negate_far|object_object,12,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+entity_type,both_negated|object_object,12,0.5,0.6666666666666666,0.3333333333333333,0.0,0.5,0.0,0,0
condition_id+scenario_id,baseline|person_gym,8,0.375,0.75,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,phrase_alternate|person_gym,8,0.3125,0.625,0.0,0.0,0.4375,0.0,0,0
condition_id+scenario_id,word_beside|person_gym,8,1.0,1.0,1.0,1.0,0.5,0.0,0,0
condition_id+scenario_id,word_alongside|person_gym,8,0.9375,0.875,1.0,0.875,0.5625,0.125,0,0
condition_id+scenario_id,word_near|person_gym,8,0.5,0.875,0.125,0.0,0.5,0.0,0,0
condition_id+scenario_id,reference_reversed|person_gym,8,0.75,0.875,0.625,0.5,0.5,0.0,0,0
condition_id+scenario_id,negate_close|person_gym,8,0.4375,0.75,0.125,0.0,0.5,0.0,0,0
condition_id+scenario_id,negate_far|person_gym,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,both_negated|person_gym,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,baseline|person_dining,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,phrase_alternate|person_dining,8,0.5,1.0,0.0,0.0,0.4375,0.0,0,0
condition_id+scenario_id,word_beside|person_dining,8,1.0,1.0,1.0,1.0,0.5,0.0,0,0
condition_id+scenario_id,word_alongside|person_dining,8,0.6875,1.0,0.375,0.375,0.8125,0.625,0,0
condition_id+scenario_id,word_near|person_dining,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,reference_reversed|person_dining,8,0.5,1.0,0.0,0.0,0.625,0.25,0,0
condition_id+scenario_id,negate_close|person_dining,8,0.3125,0.375,0.25,0.0,0.5,0.0,0,0
condition_id+scenario_id,negate_far|person_dining,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,both_negated|person_dining,8,0.5,0.125,0.875,0.0,0.5,0.0,0,0
condition_id+scenario_id,baseline|person_field,8,0.375,0.625,0.125,0.0,0.5,0.0,0,0
condition_id+scenario_id,phrase_alternate|person_field,8,0.5625,0.375,0.75,0.125,0.5,0.0,0,0
condition_id+scenario_id,word_beside|person_field,8,0.75,0.75,0.75,0.5,0.5,0.0,0,0
condition_id+scenario_id,word_alongside|person_field,8,0.8125,0.75,0.875,0.625,0.9375,0.875,0,0
condition_id+scenario_id,word_near|person_field,8,0.125,0.0,0.25,0.0,0.5,0.0,0,0
condition_id+scenario_id,reference_reversed|person_field,8,0.625,1.0,0.25,0.25,0.5,0.0,0,0
condition_id+scenario_id,negate_close|person_field,8,0.25,0.5,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,negate_far|person_field,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,both_negated|person_field,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,baseline|person_platform,8,0.25,0.5,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,phrase_alternate|person_platform,8,0.25,0.5,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,word_beside|person_platform,8,1.0,1.0,1.0,1.0,0.5,0.0,0,0
condition_id+scenario_id,word_alongside|person_platform,8,0.875,0.75,1.0,0.75,0.625,0.25,0,0
condition_id+scenario_id,word_near|person_platform,8,0.5,0.625,0.375,0.125,0.5,0.0,0,0
condition_id+scenario_id,reference_reversed|person_platform,8,0.375,0.75,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,negate_close|person_platform,8,0.0625,0.0,0.125,0.0,0.5,0.0,0,0
condition_id+scenario_id,negate_far|person_platform,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,both_negated|person_platform,8,0.5,1.0,0.0,0.0,0.5,0.0,0,0
condition_id+scenario_id,baseline|person_auditorium,8,0.5,1.0,0.0,0.0,0.3125,0.0,0,0
condition_id+scenario_id,phrase_alternate|person_auditorium,8,0.5,1.0,0.0,0.0,0.3125,0.0,0,0
condition_id+scenario_id,word_beside|person_auditorium,8,1.0,1.0,1.0,1.0,0.625,0.25,0,0
condition_id+scenario_id,word_alongside|person_auditorium,8,0.75,1.0,0.5,0.5,1.0,1.0,0,0
