grouping,group,n_pairs,n_judgments,binary_accuracy,left_gold_accuracy,right_gold_accuracy,both_correct_fraction,left_word_chosen_fraction,context_sensitivity_accuracy,exact_choice_ties
event_family,static_placement,576,1152,0.4973958333333333,0.5104166666666666,0.484375,0.04513888888888889,0.0546875,0.4930555555555556,0
event_family,target_crosses,384,768,0.50390625,0.5052083333333334,0.5026041666666666,0.0390625,0.08463541666666667,0.51953125,0
event_family,reference_crosses,384,768,0.5,0.5208333333333334,0.4791666666666667,0.0234375,0.06510416666666667,0.50390625,0
event_family,target_moves_without_crossing,384,768,0.5091145833333334,0.5234375,0.4947916666666667,0.059895833333333336,0.055989583333333336,0.4947916666666667,0
event_family,both_move,576,1152,0.5095486111111112,0.5277777777777778,0.4913194444444444,0.029513888888888888,0.05642361111111111,0.5121527777777778,0
event_family,direct_label_control,96,192,0.5208333333333334,0.5416666666666666,0.5,0.5,0.4791666666666667,0.515625,0
event_family+evidence_type,static_placement|named_positions,144,288,0.5104166666666666,0.5208333333333334,0.5,0.125,0.13541666666666666,0.4548611111111111,0
event_family+evidence_type,static_placement|numbered_left_to_right,144,288,0.4965277777777778,0.5,0.4930555555555556,0.0,0.003472222222222222,0.5104166666666666,0
event_family+evidence_type,static_placement|numbered_right_to_left,144,288,0.4965277777777778,0.5069444444444444,0.4861111111111111,0.027777777777777776,0.03819444444444445,0.4861111111111111,0
event_family+evidence_type,static_placement|lettered_positions,144,288,0.4861111111111111,0.5138888888888888,0.4583333333333333,0.027777777777777776,0.041666666666666664,0.5208333333333334,0
event_family+evidence_type,target_crosses|named_positions,96,192,0.4895833333333333,0.4791666666666667,0.5,0.03125,0.041666666666666664,0.5729166666666666,0
event_family+evidence_type,target_crosses|numbered_left_to_right,96,192,0.515625,0.5208333333333334,0.5104166666666666,0.052083333333333336,0.11979166666666667,0.515625,0
event_family+evidence_type,target_crosses|numbered_right_to_left,96,192,0.5,0.5104166666666666,0.4895833333333333,0.041666666666666664,0.15625,0.4895833333333333,0
event_family+evidence_type,target_crosses|lettered_positions,96,192,0.5104166666666666,0.5104166666666666,0.5104166666666666,0.03125,0.020833333333333332,0.5,0
event_family+evidence_type,reference_crosses|named_positions,96,192,0.4895833333333333,0.5,0.4791666666666667,0.020833333333333332,0.03125,0.5260416666666666,0
event_family+evidence_type,reference_crosses|numbered_left_to_right,96,192,0.5,0.5208333333333334,0.4791666666666667,0.020833333333333332,0.08333333333333333,0.5,0
event_family+evidence_type,reference_crosses|numbered_right_to_left,96,192,0.5,0.5416666666666666,0.4583333333333333,0.03125,0.13541666666666666,0.4791666666666667,0
event_family+evidence_type,reference_crosses|lettered_positions,96,192,0.5104166666666666,0.5208333333333334,0.5,0.020833333333333332,0.010416666666666666,0.5104166666666666,0
event_family+evidence_type,target_moves_without_crossing|named_positions,96,192,0.5,0.5,0.5,0.0,0.0,0.4895833333333333,0
event_family+evidence_type,target_moves_without_crossing|numbered_left_to_right,96,192,0.4895833333333333,0.5104166666666666,0.46875,0.052083333333333336,0.0625,0.5104166666666666,0
event_family+evidence_type,target_moves_without_crossing|numbered_right_to_left,96,192,0.5520833333333334,0.5833333333333334,0.5208333333333334,0.16666666666666666,0.13541666666666666,0.5364583333333334,0
event_family+evidence_type,target_moves_without_crossing|lettered_positions,96,192,0.4947916666666667,0.5,0.4895833333333333,0.020833333333333332,0.026041666666666668,0.4427083333333333,0
event_family+evidence_type,both_move|named_positions,144,288,0.5138888888888888,0.5208333333333334,0.5069444444444444,0.027777777777777776,0.013888888888888888,0.5173611111111112,0
event_family+evidence_type,both_move|numbered_left_to_right,144,288,0.5,0.5138888888888888,0.4861111111111111,0.020833333333333332,0.05555555555555555,0.5069444444444444,0
event_family+evidence_type,both_move|numbered_right_to_left,144,288,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.027777777777777776,0.04861111111111111,0.5069444444444444,0
event_family+evidence_type,both_move|lettered_positions,144,288,0.5173611111111112,0.5694444444444444,0.4652777777777778,0.041666666666666664,0.1076388888888889,0.5173611111111112,0
event_family+evidence_type,direct_label_control|direct_label_plain,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+evidence_type,direct_label_control|direct_label_positioned,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+event_subtype,static_placement|outer_positions,192,384,0.5078125,0.515625,0.5,0.041666666666666664,0.033854166666666664,0.4713541666666667,0
event_family+event_subtype,static_placement|inner_positions,192,384,0.4895833333333333,0.5052083333333334,0.4739583333333333,0.07291666666666667,0.09895833333333333,0.4973958333333333,0
event_family+event_subtype,static_placement|off_center_reference,192,384,0.4947916666666667,0.5104166666666666,0.4791666666666667,0.020833333333333332,0.03125,0.5104166666666666,0
event_family+event_subtype,target_crosses|full_crossing,192,384,0.5026041666666666,0.5052083333333334,0.5,0.041666666666666664,0.12239583333333333,0.5234375,0
event_family+event_subtype,target_crosses|inner_crossing,192,384,0.5052083333333334,0.5052083333333334,0.5052083333333334,0.036458333333333336,0.046875,0.515625,0
event_family+event_subtype,reference_crosses|full_crossing,192,384,0.5052083333333334,0.5416666666666666,0.46875,0.036458333333333336,0.10416666666666667,0.5078125,0
event_family+event_subtype,reference_crosses|inner_crossing,192,384,0.4947916666666667,0.5,0.4895833333333333,0.010416666666666666,0.026041666666666668,0.5,0
event_family+event_subtype,target_moves_without_crossing|rightward_motion,192,384,0.5078125,0.5208333333333334,0.4947916666666667,0.052083333333333336,0.049479166666666664,0.4947916666666667,0
event_family+event_subtype,target_moves_without_crossing|leftward_motion,192,384,0.5104166666666666,0.5260416666666666,0.4947916666666667,0.06770833333333333,0.0625,0.4947916666666667,0
event_family+event_subtype,both_move|order_preserved_right,192,384,0.5104166666666666,0.53125,0.4895833333333333,0.03125,0.057291666666666664,0.5026041666666666,0
event_family+event_subtype,both_move|order_preserved_left,192,384,0.5078125,0.5260416666666666,0.4895833333333333,0.026041666666666668,0.059895833333333336,0.5182291666666666,0
event_family+event_subtype,both_move|order_reversed,192,384,0.5104166666666666,0.5260416666666666,0.4947916666666667,0.03125,0.052083333333333336,0.515625,0
event_family+event_subtype,direct_label_control|plain,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+event_subtype,direct_label_control|positioned,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+length_band,static_placement|compact,192,384,0.5,0.5208333333333334,0.4791666666666667,0.07291666666666667,0.08333333333333333,0.4895833333333333,0
event_family+length_band,static_placement|standard,192,384,0.4921875,0.5104166666666666,0.4739583333333333,0.0625,0.08072916666666667,0.5,0
event_family+length_band,static_placement|expanded,192,384,0.5,0.5,0.5,0.0,0.0,0.4895833333333333,0
event_family+length_band,target_crosses|compact,128,256,0.515625,0.5390625,0.4921875,0.078125,0.171875,0.5234375,0
event_family+length_band,target_crosses|standard,128,256,0.49609375,0.4765625,0.515625,0.0390625,0.08203125,0.5078125,0
event_family+length_band,target_crosses|expanded,128,256,0.5,0.5,0.5,0.0,0.0,0.52734375,0
event_family+length_band,reference_crosses|compact,128,256,0.50390625,0.546875,0.4609375,0.0546875,0.12890625,0.51953125,0
event_family+length_band,reference_crosses|standard,128,256,0.49609375,0.515625,0.4765625,0.015625,0.06640625,0.4921875,0
event_family+length_band,reference_crosses|expanded,128,256,0.5,0.5,0.5,0.0,0.0,0.5,0
event_family+length_band,target_moves_without_crossing|compact,128,256,0.515625,0.5390625,0.4921875,0.1015625,0.1015625,0.48828125,0
event_family+length_band,target_moves_without_crossing|standard,128,256,0.51171875,0.53125,0.4921875,0.078125,0.06640625,0.5078125,0
event_family+length_band,target_moves_without_crossing|expanded,128,256,0.5,0.5,0.5,0.0,0.0,0.48828125,0
event_family+length_band,both_move|compact,192,384,0.5182291666666666,0.5572916666666666,0.4791666666666667,0.06770833333333333,0.14322916666666666,0.5104166666666666,0
event_family+length_band,both_move|standard,192,384,0.5104166666666666,0.5260416666666666,0.4947916666666667,0.020833333333333332,0.026041666666666668,0.5,0
event_family+length_band,both_move|expanded,192,384,0.5,0.5,0.5,0.0,0.0,0.5260416666666666,0
event_family+length_band,direct_label_control|compact,32,64,0.515625,0.53125,0.5,0.5,0.484375,0.515625,0
event_family+length_band,direct_label_control|standard,32,64,0.53125,0.5625,0.5,0.5,0.46875,0.515625,0
event_family+length_band,direct_label_control|expanded,32,64,0.515625,0.53125,0.5,0.5,0.484375,0.515625,0
event_family+context_entity_order,static_placement|target_first,288,576,0.484375,0.5069444444444444,0.4618055555555556,0.034722222222222224,0.0642361111111111,0.4861111111111111,0
event_family+context_entity_order,static_placement|reference_first,288,576,0.5104166666666666,0.5138888888888888,0.5069444444444444,0.05555555555555555,0.04513888888888889,0.5,0
event_family+context_entity_order,target_crosses|target_first,192,384,0.5078125,0.5364583333333334,0.4791666666666667,0.036458333333333336,0.0703125,0.5104166666666666,0
event_family+context_entity_order,target_crosses|reference_first,192,384,0.5,0.4739583333333333,0.5260416666666666,0.041666666666666664,0.09895833333333333,0.5286458333333334,0
event_family+context_entity_order,reference_crosses|target_first,192,384,0.4947916666666667,0.5416666666666666,0.4479166666666667,0.010416666666666666,0.09895833333333333,0.5026041666666666,0
event_family+context_entity_order,reference_crosses|reference_first,192,384,0.5052083333333334,0.5,0.5104166666666666,0.036458333333333336,0.03125,0.5052083333333334,0
event_family+context_entity_order,target_moves_without_crossing|target_first,192,384,0.5130208333333334,0.5416666666666666,0.484375,0.08854166666666667,0.0859375,0.5052083333333334,0
event_family+context_entity_order,target_moves_without_crossing|reference_first,192,384,0.5052083333333334,0.5052083333333334,0.5052083333333334,0.03125,0.026041666666666668,0.484375,0
event_family+context_entity_order,both_move|target_first,288,576,0.5086805555555556,0.53125,0.4861111111111111,0.027777777777777776,0.08159722222222222,0.5173611111111112,0
event_family+context_entity_order,both_move|reference_first,288,576,0.5104166666666666,0.5243055555555556,0.4965277777777778,0.03125,0.03125,0.5069444444444444,0
event_family+context_entity_order,direct_label_control|target_first,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+context_entity_order,direct_label_control|reference_first,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+target_entity_order,static_placement|target_first,288,576,0.4982638888888889,0.06597222222222222,0.9305555555555556,0.05555555555555555,0.06770833333333333,0.4947916666666667,0
event_family+target_entity_order,static_placement|reference_first,288,576,0.4965277777777778,0.9548611111111112,0.03819444444444445,0.034722222222222224,0.041666666666666664,0.4913194444444444,0
event_family+target_entity_order,target_crosses|target_first,192,384,0.5078125,0.09375,0.921875,0.041666666666666664,0.0859375,0.5885416666666666,0
event_family+target_entity_order,target_crosses|reference_first,192,384,0.5,0.9166666666666666,0.08333333333333333,0.036458333333333336,0.08333333333333333,0.4505208333333333,0
event_family+target_entity_order,reference_crosses|target_first,192,384,0.4973958333333333,0.08333333333333333,0.9114583333333334,0.026041666666666668,0.0859375,0.4609375,0
event_family+target_entity_order,reference_crosses|reference_first,192,384,0.5026041666666666,0.9583333333333334,0.046875,0.020833333333333332,0.044270833333333336,0.546875,0
event_family+target_entity_order,target_moves_without_crossing|target_first,192,384,0.5182291666666666,0.08854166666666667,0.9479166666666666,0.08854166666666667,0.0703125,0.4583333333333333,0
event_family+target_entity_order,target_moves_without_crossing|reference_first,192,384,0.5,0.9583333333333334,0.041666666666666664,0.03125,0.041666666666666664,0.53125,0
event_family+target_entity_order,both_move|target_first,288,576,0.5121527777777778,0.08680555555555555,0.9375,0.041666666666666664,0.07465277777777778,0.515625,0
event_family+target_entity_order,both_move|reference_first,288,576,0.5069444444444444,0.96875,0.04513888888888889,0.017361111111111112,0.03819444444444445,0.5086805555555556,0
event_family+target_entity_order,direct_label_control|target_first,48,96,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+target_entity_order,direct_label_control|reference_first,48,96,0.5416666666666666,0.5833333333333334,0.5,0.5,0.4583333333333333,0.53125,0
event_family+object_pair_id,static_placement|ball_cone,144,288,0.5,0.5347222222222222,0.4652777777777778,0.0625,0.0763888888888889,0.4930555555555556,0
event_family+object_pair_id,static_placement|cup_box,144,288,0.4965277777777778,0.5,0.4930555555555556,0.027777777777777776,0.03125,0.4791666666666667,0
event_family+object_pair_id,static_placement|book_jar,144,288,0.4965277777777778,0.5277777777777778,0.4652777777777778,0.06944444444444445,0.0798611111111111,0.5173611111111112,0
event_family+object_pair_id,static_placement|toy_key,144,288,0.4965277777777778,0.4791666666666667,0.5138888888888888,0.020833333333333332,0.03125,0.4826388888888889,0
event_family+object_pair_id,target_crosses|ball_cone,96,192,0.5,0.5104166666666666,0.4895833333333333,0.041666666666666664,0.09375,0.5364583333333334,0
event_family+object_pair_id,target_crosses|cup_box,96,192,0.5,0.5,0.5,0.0,0.0,0.53125,0
event_family+object_pair_id,target_crosses|book_jar,96,192,0.5052083333333334,0.59375,0.4166666666666667,0.052083333333333336,0.11979166666666667,0.5416666666666666,0
event_family+object_pair_id,target_crosses|toy_key,96,192,0.5104166666666666,0.4166666666666667,0.6041666666666666,0.0625,0.125,0.46875,0
event_family+object_pair_id,reference_crosses|ball_cone,96,192,0.4947916666666667,0.5416666666666666,0.4479166666666667,0.020833333333333332,0.06770833333333333,0.484375,0
event_family+object_pair_id,reference_crosses|cup_box,96,192,0.5,0.5,0.5,0.0,0.0,0.5104166666666666,0
event_family+object_pair_id,reference_crosses|book_jar,96,192,0.4947916666666667,0.5729166666666666,0.4166666666666667,0.03125,0.078125,0.5052083333333334,0
event_family+object_pair_id,reference_crosses|toy_key,96,192,0.5104166666666666,0.46875,0.5520833333333334,0.041666666666666664,0.11458333333333333,0.515625,0
event_family+object_pair_id,target_moves_without_crossing|ball_cone,96,192,0.5052083333333334,0.5416666666666666,0.46875,0.041666666666666664,0.036458333333333336,0.5,0
event_family+object_pair_id,target_moves_without_crossing|cup_box,96,192,0.5,0.5,0.5,0.0,0.0,0.4791666666666667,0
event_family+object_pair_id,target_moves_without_crossing|book_jar,96,192,0.515625,0.59375,0.4375,0.09375,0.078125,0.5052083333333334,0
event_family+object_pair_id,target_moves_without_crossing|toy_key,96,192,0.515625,0.4583333333333333,0.5729166666666666,0.10416666666666667,0.109375,0.4947916666666667,0
event_family+object_pair_id,both_move|ball_cone,144,288,0.5208333333333334,0.5694444444444444,0.4722222222222222,0.04861111111111111,0.05555555555555555,0.5173611111111112,0
event_family+object_pair_id,both_move|cup_box,144,288,0.5,0.5,0.5,0.0,0.0,0.5277777777777778,0
event_family+object_pair_id,both_move|book_jar,144,288,0.5069444444444444,0.6041666666666666,0.4097222222222222,0.041666666666666664,0.09722222222222222,0.5069444444444444,0
event_family+object_pair_id,both_move|toy_key,144,288,0.5104166666666666,0.4375,0.5833333333333334,0.027777777777777776,0.07291666666666667,0.4965277777777778,0
event_family+object_pair_id,direct_label_control|ball_cone,24,48,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+object_pair_id,direct_label_control|cup_box,24,48,0.5208333333333334,0.5416666666666666,0.5,0.5,0.4791666666666667,0.5,0
event_family+object_pair_id,direct_label_control|book_jar,24,48,0.5,0.5,0.5,0.5,0.5,0.5,0
event_family+object_pair_id,direct_label_control|toy_key,24,48,0.5625,0.625,0.5,0.5,0.4375,0.5625,0
