grouping,group,pairs,accuracy,both_correct,positive_word_choice,ties
axis+event_family,north_south|static_placement,144,0.5,0,1.0,0
axis+event_family,north_south|target_crosses,72,0.5,0,0.9861111111111112,0
axis+event_family,north_south|reference_crosses,72,0.5,0,1.0,0
axis+event_family,north_south|target_moves_without_crossing,144,0.5,0,1.0,0
axis+event_family,north_south|both_move,216,0.5,0,1.0,0
axis+event_family,north_south|direct_relation,12,0.5416666666666666,0.4166666666666667,0.625,0
axis+event_family,north_south|screen_to_cardinal,12,0.5,0,1.0,0
axis+event_family,east_west|static_placement,144,0.4861111111111111,0,0.9583333333333334,0
axis+event_family,east_west|target_crosses,72,0.5069444444444444,0.013888888888888888,0.9375,0
axis+event_family,east_west|reference_crosses,72,0.5069444444444444,0.013888888888888888,0.8958333333333334,0
axis+event_family,east_west|target_moves_without_crossing,144,0.4965277777777778,0,0.9548611111111112,0
axis+event_family,east_west|both_move,216,0.4976851851851852,0,0.9467592592592593,0
axis+event_family,east_west|direct_relation,12,0.5,0.3333333333333333,0.6666666666666666,0
axis+event_family,east_west|screen_to_cardinal,12,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|static_placement|numeric,96,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|static_placement|named_locations,48,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|target_crosses|numeric,48,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|target_crosses|named_locations,24,0.5,0,0.9583333333333334,0
axis+event_family+evidence_format,north_south|reference_crosses|numeric,48,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|reference_crosses|named_locations,24,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|target_moves_without_crossing|numeric,96,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|target_moves_without_crossing|named_locations,48,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|both_move|numeric,144,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|both_move|named_locations,72,0.5,0,1.0,0
axis+event_family+evidence_format,north_south|direct_relation|direct_relation,12,0.5416666666666666,0.4166666666666667,0.625,0
axis+event_family+evidence_format,north_south|screen_to_cardinal|screen_to_cardinal,12,0.5,0,1.0,0
axis+event_family+evidence_format,east_west|static_placement|numeric,96,0.5,0,1.0,0
axis+event_family+evidence_format,east_west|static_placement|named_locations,48,0.4583333333333333,0,0.875,0
axis+event_family+evidence_format,east_west|target_crosses|numeric,48,0.5,0,1.0,0
axis+event_family+evidence_format,east_west|target_crosses|named_locations,24,0.5208333333333334,0.041666666666666664,0.8125,0
axis+event_family+evidence_format,east_west|reference_crosses|numeric,48,0.5,0,1.0,0
axis+event_family+evidence_format,east_west|reference_crosses|named_locations,24,0.5208333333333334,0.041666666666666664,0.6875,0
axis+event_family+evidence_format,east_west|target_moves_without_crossing|numeric,96,0.5,0,1.0,0
axis+event_family+evidence_format,east_west|target_moves_without_crossing|named_locations,48,0.4895833333333333,0,0.8645833333333334,0
axis+event_family+evidence_format,east_west|both_move|numeric,144,0.5,0,1.0,0
axis+event_family+evidence_format,east_west|both_move|named_locations,72,0.4930555555555556,0,0.8402777777777778,0
axis+event_family+evidence_format,east_west|direct_relation|direct_relation,12,0.5,0.3333333333333333,0.6666666666666666,0
axis+event_family+evidence_format,east_west|screen_to_cardinal|screen_to_cardinal,12,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|numeric|negative_to_positive|increasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|numeric|negative_to_positive|decreasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|numeric|positive_to_negative|increasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|numeric|positive_to_negative|decreasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|named_locations|negative_to_positive|not_applicable,108,0.5,0,0.9907407407407407,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|named_locations|positive_to_negative|not_applicable,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|direct_relation|not_applicable|not_applicable,12,0.5416666666666666,0.4166666666666667,0.625,0
axis+evidence_format+location_list_order+numeric_label_order,north_south|screen_to_cardinal|not_applicable|not_applicable,12,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|numeric|negative_to_positive|increasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|numeric|negative_to_positive|decreasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|numeric|positive_to_negative|increasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|numeric|positive_to_negative|decreasing,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|named_locations|negative_to_positive|not_applicable,108,0.48148148148148145,0.018518518518518517,0.6666666666666666,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|named_locations|positive_to_negative|not_applicable,108,0.5,0,1.0,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|direct_relation|not_applicable|not_applicable,12,0.5,0.3333333333333333,0.6666666666666666,0
axis+evidence_format+location_list_order+numeric_label_order,east_west|screen_to_cardinal|not_applicable|not_applicable,12,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|static_placement|target_first|target_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|static_placement|target_first|reference_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|static_placement|reference_first|target_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|static_placement|reference_first|reference_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_crosses|target_first|target_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_crosses|target_first|reference_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_crosses|reference_first|target_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_crosses|reference_first|reference_first,18,0.5,0,0.9444444444444444,0
axis+event_family+context_entity_order+target_entity_order,north_south|reference_crosses|target_first|target_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|reference_crosses|target_first|reference_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|reference_crosses|reference_first|target_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|reference_crosses|reference_first|reference_first,18,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_moves_without_crossing|target_first|target_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_moves_without_crossing|target_first|reference_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_moves_without_crossing|reference_first|target_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|target_moves_without_crossing|reference_first|reference_first,36,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|both_move|target_first|target_first,54,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|both_move|target_first|reference_first,54,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|both_move|reference_first|target_first,54,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|both_move|reference_first|reference_first,54,0.5,0,1.0,0
axis+event_family+context_entity_order+target_entity_order,north_south|direct_relation|target_first|target_first,3,0.8333333333333334,0.6666666666666666,0.6666666666666666,0
axis+event_family+context_entity_order+target_entity_order,north_south|direct_relation|target_first|reference_first,3,0.16666666666666666,0,0.6666666666666666,0
axis+event_family+context_entity_order+target_entity_order,north_south|direct_relation|reference_first|target_first,3,0.16666666666666666,0,0.6666666666666666,0
axis+event_family+context_entity_order+target_entity_order,north_south|direct_relation|reference_first|reference_first,3,1.0,1,0.5,0
