method,grouping,group,n_contexts,n_correct,accuracy,mean_gold_margin,predicted_closer,predicted_farther,predicted_unchanged,ties
raw,overall,all,4068,1382,0.33972468043264503,-0.146782549960775,15,12,4041,0
pmi,overall,all,4068,1312,0.3225172074729597,-0.18315227389804498,271,3797,0,0
raw,condition_id,direct_label,72,50,0.6944444444444444,0.21023671825726828,15,12,45,0
pmi,condition_id,direct_label,72,47,0.6527777777777778,0.1005037675301234,28,44,0,0
raw,condition_id,reference_object_moves,2664,0,0.0,-0.41569584930265274,0,0,2664,0
pmi,condition_id,reference_object_moves,2664,1265,0.47484984984984985,-0.011080683396385238,203,2461,0,0
raw,condition_id,both_move_same_separation,1332,1332,1.0,0.37174570990038347,0,0,1332,0
pmi,condition_id,both_move_same_separation,1332,0,0.0,-0.5426282138974817,40,1292,0,0
raw,numeric_information,absent,180,86,0.4777777777777778,-0.014012840721342299,15,12,153,0
pmi,numeric_information,absent,180,82,0.45555555555555555,-0.09624241656727262,31,149,0,0
raw,numeric_information,specific,3888,1296,0.3333333333333333,-0.15292929575889688,0,0,3888,0
pmi,numeric_information,specific,3888,1230,0.31635802469135804,-0.18717587840409927,240,3648,0,0
raw,length_band,direct,72,50,0.6944444444444444,0.21023671825726828,15,12,45,0
pmi,length_band,direct,72,47,0.6527777777777778,0.1005037675301234,28,44,0,0
raw,length_band,compact,1332,444,0.3333333333333333,-0.2832941253622015,0,0,1332,0
pmi,length_band,compact,1332,441,0.3310810810810811,-0.18687900166969756,35,1297,0,0
raw,length_band,standard,1332,444,0.3333333333333333,-0.13620375083373473,0,0,1332,0
pmi,length_band,standard,1332,380,0.2852852852852853,-0.23956854252127913,160,1172,0,0
raw,length_band,expanded,1332,444,0.3333333333333333,-0.04014811250898573,0,0,1332,0
pmi,length_band,expanded,1332,444,0.3333333333333333,-0.13834203649927546,48,1284,0,0
raw,outcome,closer,1356,14,0.01032448377581121,-0.36387116569685024,14,0,1342,0
pmi,outcome,closer,1356,91,0.06710914454277286,-0.14768163679623675,91,1265,0,0
raw,outcome,farther,1356,12,0.008849557522123894,-0.4514445181617343,1,12,1343,0
pmi,outcome,farther,1356,1221,0.9004424778761062,0.13650696458718067,135,1221,0,0
raw,outcome,unchanged,1356,1356,1.0,0.3749680339762595,0,0,1356,0
pmi,outcome,unchanged,1356,0,0.0,-0.5382821494850789,45,1311,0,0
raw,condition_id+numeric_information,direct_label|absent,72,50,0.6944444444444444,0.21023671825726828,15,12,45,0
pmi,condition_id+numeric_information,direct_label|absent,72,47,0.6527777777777778,0.1005037675301234,28,44,0,0
raw,condition_id+numeric_information,reference_object_moves|absent,72,0,0.0,-0.3812396542893516,0,0,72,0
pmi,condition_id+numeric_information,reference_object_moves|absent,72,35,0.4861111111111111,-0.007164022988743252,3,69,0,0
raw,condition_id+numeric_information,both_move_same_separation|absent,36,36,1.0,0.2719416684574551,0,0,36,0
pmi,condition_id+numeric_information,both_move_same_separation|absent,36,0,0.0,-0.6678915719191233,0,36,0,0
raw,condition_id+numeric_information,reference_object_moves|specific,2592,0,0.0,-0.41665296583079997,0,0,2592,0
pmi,condition_id+numeric_information,reference_object_moves|specific,2592,1230,0.47453703703703703,-0.011189479518819738,200,2392,0,0
raw,condition_id+numeric_information,both_move_same_separation|specific,1296,1296,1.0,0.37451804438490927,0,0,1296,0
pmi,condition_id+numeric_information,both_move_same_separation|specific,1296,0,0.0,-0.5391486761746583,40,1256,0,0
raw,condition_id+numeric_information+length_band,direct_label|absent|direct,72,50,0.6944444444444444,0.21023671825726828,15,12,45,0
pmi,condition_id+numeric_information+length_band,direct_label|absent|direct,72,47,0.6527777777777778,0.1005037675301234,28,44,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|absent|compact,24,0,0.0,-0.5069091022014618,0,0,24,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|absent|compact,24,11,0.4583333333333333,-0.022256394227345783,1,23,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|absent|standard,24,0,0.0,-0.30301302671432495,0,0,24,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|absent|standard,24,12,0.5,-0.0015857815742492676,2,22,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|absent|expanded,24,0,0.0,-0.33379683395226795,0,0,24,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|absent|expanded,24,12,0.5,0.0023501068353652954,0,24,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|absent|compact,12,12,1.0,0.2977636158466339,0,0,12,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|absent|compact,12,0,0.0,-0.6210335791110992,0,12,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|absent|standard,12,12,1.0,0.11231691638628642,0,0,12,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|absent|standard,12,0,0.0,-0.8275439143180847,0,12,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|absent|expanded,12,12,1.0,0.405744473139445,0,0,12,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|absent|expanded,12,0,0.0,-0.555097222328186,0,12,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|specific|compact,864,0,0.0,-0.6065119550459914,0,0,864,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|specific|compact,864,430,0.4976851851851852,-0.01125445106515178,2,862,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|specific|standard,864,0,0.0,-0.3247183079796809,0,0,864,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|specific|standard,864,368,0.42592592592592593,-0.02202735013431973,152,712,0,0
raw,condition_id+numeric_information+length_band,reference_object_moves|specific|expanded,864,0,0.0,-0.31872863446672756,0,0,864,0
pmi,condition_id+numeric_information+length_band,reference_object_moves|specific|expanded,864,432,0.5,-0.00028663735698770596,46,818,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|specific|compact,432,432,1.0,0.35942409546286974,0,0,432,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|specific|compact,432,0,0.0,-0.5352139539188809,32,400,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|specific|standard,432,432,1.0,0.24318919358430086,0,0,432,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|specific|standard,432,0,0.0,-0.6715395425756773,6,426,0,0
raw,condition_id+numeric_information+length_band,both_move_same_separation|specific|expanded,432,432,1.0,0.5209408441075573,0,0,432,0
pmi,condition_id+numeric_information+length_band,both_move_same_separation|specific|expanded,432,0,0.0,-0.4106925320294168,2,430,0,0
raw,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|closer,24,14,0.5833333333333334,0.08458385368188222,14,0,10,0
pmi,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|closer,24,23,0.9583333333333334,0.26521580914656323,23,1,0,0
raw,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|farther,24,12,0.5,-0.007680719097455342,1,12,11,0
pmi,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|farther,24,24,1.0,0.3333710680405299,0,24,0,0
raw,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|unchanged,24,24,1.0,0.5538070201873779,0,0,24,0
pmi,condition_id+numeric_information+length_band+outcome,direct_label|absent|direct|unchanged,24,0,0.0,-0.2970755745967229,5,19,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|closer,12,0,0.0,-0.46407533685366315,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|closer,12,0,0.0,-0.15655946731567383,0,12,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|closer,12,0,0.0,-0.225067009528478,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|closer,12,1,0.08333333333333333,-0.07905541857083638,1,11,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|closer,12,0,0.0,-0.3030337889989217,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|closer,12,0,0.0,-0.16294666131337485,0,12,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|farther,12,0,0.0,-0.5497428675492605,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|compact|farther,12,11,0.9166666666666666,0.11204667886098225,1,11,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|farther,12,0,0.0,-0.38095904390017193,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|standard|farther,12,11,0.9166666666666666,0.07588385542233785,1,11,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|farther,12,0,0.0,-0.3645598789056142,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|absent|expanded|farther,12,12,1.0,0.16764687498410544,0,12,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|compact|unchanged,12,12,1.0,0.2977636158466339,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|compact|unchanged,12,0,0.0,-0.6210335791110992,0,12,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|standard|unchanged,12,12,1.0,0.11231691638628642,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|standard|unchanged,12,0,0.0,-0.8275439143180847,0,12,0,0
raw,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|expanded|unchanged,12,12,1.0,0.405744473139445,0,0,12,0
pmi,condition_id+numeric_information+length_band+outcome,both_move_same_separation|absent|expanded|unchanged,12,0,0.0,-0.555097222328186,0,12,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|closer,432,0,0.0,-0.5870334475680634,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|closer,432,0,0.0,-0.19204509699786151,0,432,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|closer,432,0,0.0,-0.2443679913326546,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|closer,432,44,0.10185185185185185,-0.10044984823023831,44,388,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|closer,432,0,0.0,-0.2878883748694702,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|closer,432,23,0.05324074074074074,-0.17472436113489997,23,409,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|farther,432,0,0.0,-0.6259904625239195,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|compact|farther,432,430,0.9953703703703703,0.16953619486755794,2,430,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|farther,432,0,0.0,-0.4050686246267072,0,0,432,0
pmi,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|standard|farther,432,324,0.75,0.056395147961598856,108,324,0,0
raw,condition_id+numeric_information+length_band+outcome,reference_object_moves|specific|expanded|farther,432,0,0.0,-0.3495688940639849,0,0,432,0
